Year,Date,OPP,FanDuel,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,SF,E,AVG,OBP,SLG,OPS
2017,19-Jun,@KC,6,5,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0.319,0.371,0.464,0.835
2017,20-Jun,@KC,13,5,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0.321,0.371,0.463,0.834
2017,21-Jun,@KC,24.7,4,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0.322,0.376,0.474,0.85
2017,23-Jun,LAA,15.7,4,4,1,2,1,0,0,1,0,1,0,0,0,0,0,0.325,0.378,0.478,0.856
2017,24-Jun,LAA,9.2,4,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0.324,0.376,0.478,0.854
2017,25-Jun,LAA,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.319,0.371,0.472,0.843
2017,26-Jun,Min,3,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.316,0.37,0.467,0.837
2017,27-Jun,Min,15.4,5,4,2,2,0,0,0,0,0,1,0,0,1,0,0,0.318,0.373,0.467,0.84
2017,28-Jun,Min,6.5,5,5,0,1,0,0,0,1,0,2,0,0,0,0,0,0.316,0.371,0.463,0.834
2017,29-Jun,Min,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0.312,0.366,0.456,0.822
2017,30-Jun,@Tor,15.7,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0.314,0.368,0.458,0.826
2017,1-Jul,@Tor,13.5,5,4,0,1,0,0,0,3,0,3,0,0,0,1,0,0.314,0.366,0.455,0.821
2017,2-Jul,@Tor,,DNP,,,,,,,,,,,,,,,,,,
2017,3-Jul,@Tex,,DNP,,,,,,,,,,,,,,,,,,
2017,4-Jul,@Tex,3,6,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0.308,0.362,0.448,0.81
2017,5-Jul,@Tex,22.2,4,4,1,1,0,0,1,2,0,1,0,0,0,0,0,0.308,0.361,0.455,0.816
2017,6-Jul,@TB,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.308,0.363,0.455,0.818
2017,7-Jul,@TB,,DNP,,,,,,,,,,,,,,,,,,
2017,8-Jul,@TB,6,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0.308,0.364,0.454,0.818
2017,9-Jul,@TB,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0.303,0.359,0.447,0.806
2017,14-Jul,NYY,12.7,5,5,1,2,0,0,0,1,0,1,0,0,0,0,0,0.305,0.36,0.446,0.806
2017,15-Jul,NYY,6,7,6,0,1,0,0,0,0,1,1,0,0,0,0,1,0.302,0.358,0.441,0.799
2017,16-Jul,NYY,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0.299,0.357,0.437,0.794
2017,16-Jul,NYY,,DNP,,,,,,,,,,,,,,,,,,
2017,17-Jul,Tor,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.296,0.353,0.432,0.785
2017,18-Jul,Tor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0.353,0.432,0.785
2017,19-Jul,Tor,,DNP,,,,,,,,,,,,,,,,,,
2017,20-Jul,Tor,9.2,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0.295,0.352,0.433,0.785
2017,21-Jul,@LAA,9.7,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0.295,0.351,0.431,0.782
2017,22-Jul,@LAA,6,4,4,0,1,1,0,0,0,0,2,0,0,0,0,2,0.294,0.35,0.431,0.781
2017,23-Jul,@LAA,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291,0.346,0.427,0.773
2017,24-Jul,@Sea,,DNP,,,,,,,,,,,,,,,,,,
2017,25-Jul,@Sea,3,6,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0.287,0.344,0.421,0.765
2017,26-Jul,@Sea,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0.34,0.416,0.756
2017,28-Jul,KC,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.281,0.337,0.411,0.748
2017,29-Jul,KC,9,5,4,0,2,0,0,0,0,1,1,0,0,0,0,0,0.283,0.34,0.412,0.752
2017,30-Jul,KC,6.2,4,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0.283,0.339,0.411,0.75
2017,31-Jul,Cle,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.282,0.338,0.409,0.747
2017,1-Aug,Cle,9.2,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0.281,0.337,0.409,0.746
2017,3-Aug,CWS,6.2,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.28,0.335,0.406,0.741
2017,4-Aug,CWS,3,4,4,0,1,0,0,0,0,0,2,0,0,0,0,1,0.28,0.334,0.405,0.739
2017,5-Aug,CWS,,DNP,,,,,,,,,,,,,,,,,,
2017,6-Aug,CWS,12,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0.28,0.336,0.404,0.74
2017,8-Aug,@TB,18.2,4,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0.285,0.339,0.408,0.747
2017,9-Aug,@TB,6.2,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0.283,0.339,0.404,0.743
2017,11-Aug,@NYY,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.336,0.4,0.736
2017,12-Aug,@NYY,3.2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0.333,0.397,0.73
2017,13-Aug,@NYY,3,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.275,0.332,0.394,0.726
2017,14-Aug,Cle,9,4,3,0,1,1,0,0,0,1,2,0,0,0,0,0,0.276,0.333,0.396,0.729
2017,15-Aug,StL,15.7,5,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0.28,0.336,0.398,0.734
2017,16-Aug,StL,18.7,4,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0.279,0.335,0.404,0.739
2017,18-Aug,NYY,9.2,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0.279,0.335,0.405,0.74
2017,19-Aug,NYY,6.2,4,3,1,0,0,0,0,0,1,2,0,0,0,0,1,0.277,0.334,0.402,0.736
2017,20-Aug,NYY,12.4,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0.278,0.335,0.401,0.736
2017,21-Aug,@Cle,6,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0.276,0.337,0.4,0.737
2017,22-Aug,@Cle,12.2,4,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0.278,0.338,0.403,0.741
2017,23-Aug,@Cle,6.2,4,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0.278,0.337,0.401,0.738
2017,24-Aug,@Cle,28.4,4,3,2,2,0,1,0,2,1,0,0,0,0,0,0,0.281,0.341,0.408,0.749
2017,25-Aug,Bal,22.2,4,4,1,1,0,0,1,2,0,0,0,0,0,0,1,0.28,0.34,0.413,0.753
2017,26-Aug,Bal,3,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0.279,0.339,0.41,0.749
2017,27-Aug,Bal,9.2,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0.278,0.339,0.411,0.75
2017,28-Aug,@Tor,6.5,5,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0.276,0.337,0.407,0.744
2017,29-Aug,@Tor,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0.274,0.335,0.404,0.739
2017,30-Aug,@Tor,27.7,5,4,1,1,1,0,0,1,1,0,2,0,0,0,0,0.273,0.335,0.405,0.74
2017,31-Aug,@NYY,3.5,4,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0.271,0.333,0.401,0.734
2017,1-Sep,@NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.333,0.401,0.734
2017,2-Sep,@NYY,,DNP,,,,,,,,,,,,,,,,,,
2017,3-Sep,@NYY,,DNP,,,,,,,,,,,,,,,,,,
2017,4-Sep,Tor,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.269,0.33,0.398,0.728
